Datum,Nachricht
2022-06-15T09:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T11:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T11:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T11:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T11:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T13:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T13:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T13:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T13:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T15:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T15:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T15:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T15:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T17:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T17:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T17:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T17:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T19:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T19:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T19:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T19:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T21:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T21:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T21:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-15T21:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-15T23:00:00.000+02:00,──── Order Berechnung ────
2022-06-15T23:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-15T23:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
